"Timestamp","1. What is your age group?  ","2. What best describes you?","3. How familiar are you with audio processing or signal processing?","4. Have you worked with biomedical audio before?","5. Which type of audio-related task are you most familiar with?","1. How difficult do you think it is to separate heart and lung sounds from a mixed cardiopulmonary
recording?","2. What problems do you think affect cardiopulmonary sound processing the most?","3. Do you think noisy audio recordings can reduce the quality of machine learning-based sound
processing?","4. Do you think a simple software prototype for heart-lung sound separation would be useful for students
or researchers?","1. Which feature would be most important in the proposed system?  ","2. Which output would you prefer after sound separation?","3. How important is it for the system to provide a preview of the separated heart and lung sounds?","4. How important is it for the system to allow users to download separated audio outputs?","5. How important is it for the system to show basic processing information, such as file name,
processing status, and completion time?","6. Should the system include a history page showing previously uploaded files and separation results?","1. How would you prefer the separated results to be displayed?","2. Which interface style would you prefer?","3. How important is it for the system interface to be easy for non-expert users?","4. What information should appear first after separation is completed?","5. What type of error message would be most helpful if the uploaded file is invalid?   ","1. How important is it for the system to show evaluation metrics for the separated output?","2. Which evaluation information would be most useful?","3. Would you use a prototype that separates mixed cardiopulmonary audio into heart and lung sound
outputs?","4. What improvement or feature would you like to see in a cardiopulmonary sound separation system?"
"2026/06/21 12:38:25 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","I have not worked with audio tasks before","Neutral","Overlap between heart and lung sounds;Difficulty identifying useful sound components","Agree","Agree","Separate heart and lung sounds","Audio files with spectrogram visualization","Moderately important","Important","Important","Not sure","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Slightly important","Evaluation metrics","Message explaining the problem","Moderately important","Separation accuracy score","Yes",""
"2026/06/21 1:15:57 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","Audio recording","Difficult","Overlap between heart and lung sounds;Difficulty identifying useful sound components","Agree","Agree","View evaluation results","All of the above","Moderately important","Moderately important","Important","Yes","Simple audio player only","Detailed interface with many technical options","Very important","Download buttons for heart and lung sounds","Message explaining the problem and suggested fix","Important","Noise reduction information","Maybe",""
"2026/06/21 1:21:56 PM GMT+8","26-35","unemployed","Basic","Yes","Audio recording","Neutral","Low recording quality;Lack of clear output visualization","Strongly Agree","Agree","Download separated outputs","All of the above","Moderately important","Moderately important","Moderately important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Very important","Waveform or spectrogram visualization","Message explaining the problem","Important","Separation accuracy score","Yes","idk"
"2026/06/21 1:28:14 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","I have not worked with audio tasks before","Very difficult","Background noise;Overlap between heart and lung sounds;Low recording quality;Difficulty identifying useful sound components;Lack of simple software tools;Lack of clear output visualization","Agree","Agree","Separate heart and lung sounds","Audio files with evaluation metrics","Important","Important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Very important","Download buttons for heart and lung sounds","Message explaining the problem and suggested fix","Moderately important","All of the above","Yes","I would like it to be easier for non-technical users to be able to understand it and use it with no need for technical or advanced knowledge."
"2026/06/21 1:28:38 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","Audio recording","Difficult","Overlap between heart and lung sounds;Lack of clear output visualization","Strongly Agree","Agree","Separate heart and lung sounds","All of the above","Slightly important","Very important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Slightly important","Processing status summary","Message explaining the problem","Important","All of the above","Maybe",""
"2026/06/21 3:32:23 PM GMT+8","18-25","Software Engineering / Computer Science student","Not familiar","No","I have not worked with audio tasks before","Difficult","Background noise;Overlap between heart and lung sounds;Lack of simple software tools","Agree","Agree","Download separated outputs","All of the above","Important","Important","Important","Yes","Not sure","Balanced interface with simple view and optional advanced details","Very important","Evaluation metrics","Message explaining the problem and suggested fix","Important","All of the above","Yes",""
"2026/06/21 4:37:11 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","Audio editing","Difficult","Overlap between heart and lung sounds","Strongly Agree","Strongly Agree","Separate heart and lung sounds","All of the above","Very important","Very important","Important","Yes","Audio player with waveform","Balanced interface with simple view and optional advanced details","Very important","Audio preview players","Message explaining the problem","Very important","All of the above","Yes","I would like the system to include clear waveform and spectrogram visualization, audio preview, download options, evaluation metrics, and simple explanations of the separation results so that both students and researchers can understand the output easily."
"2026/06/21 4:48:02 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","Audio editing","Difficult","Overlap between heart and lung sounds","Strongly Agree","Agree","Separate heart and lung sounds","All of the above","Important","Very important","Important","Not sure","Audio player with waveform, spectrogram, and metrics","Simple interface with only main features","Slightly important","Audio preview players","Message explaining the problem and suggested fix","Moderately important","Signal quality score","Yes",""
"2026/06/21 5:04:09 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","Yes","Audio editing","Neutral","Background noise","Disagree","Disagree","Preprocess noisy audio","Audio files with waveform visualization","Slightly important","Slightly important","Slightly important","Yes","Simple audio player only","Simple interface with only main features","Slightly important","Audio preview players","Message explaining the problem and suggested fix","Slightly important","Processing time","Yes",""
"2026/06/21 7:48:21 PM GMT+8","18-25","AI / Machine Learning student","Basic","No","Audio editing","Neutral","Overlap between heart and lung sounds;Lack of clear output visualization","Agree","Agree","Separate heart and lung sounds","All of the above","Very important","Important","Moderately important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Slightly important","Audio preview players","Message explaining the problem and suggested fix","Slightly important","All of the above","Maybe",""
"2026/06/21 9:10:20 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","Audio recording","Easy","Background noise;Overlap between heart and lung sounds","Strongly Agree","Neutral","Preprocess noisy audio","Heart and lung audio files only","Important","Important","Important","Yes","Audio player with spectrogram","Simple interface with only main features","Slightly important","Audio preview players","Message explaining the problem","Slightly important","All of the above","Yes","-"
"2026/06/21 9:57:08 PM GMT+8","26-35","Software Engineering / Computer Science student","Not familiar","No","I have not worked with audio tasks before","Neutral","Overlap between heart and lung sounds","Agree","Agree","Separate heart and lung sounds","Heart and lung audio files only","Important","Important","Important","Not sure","Not sure","Balanced interface with simple view and optional advanced details","Important","Download buttons for heart and lung sounds","Message explaining the problem","Important","All of the above","Maybe",""
"2026/06/21 10:53:18 PM GMT+8","18-25","Software Engineering / Computer Science student","Not familiar","Not sure","Audio recording","Neutral","Background noise","Neutral","Agree","View processing history","Audio files with waveform visualization","Moderately important","Moderately important","Moderately important","Yes","Audio player with spectrogram","Detailed interface with many technical options","Important","Waveform or spectrogram visualization","Not sure","Moderately important","Noise reduction information","No",""
"2026/06/23 2:19:29 PM GMT+8","18-25","Software Engineering / Computer Science student","Not familiar","No","I have not worked with audio tasks before","Very difficult","Background noise;Overlap between heart and lung sounds;Difficulty identifying useful sound components;Lack of simple software tools","Strongly Agree","Agree","Preview separated audio","All of the above","Very important","Very important","Very important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Very important","Waveform or spectrogram visualization","Message explaining the problem and suggested fix","Important","All of the above","Yes",""
"2026/06/23 2:50:27 PM GMT+8","18-25","Software Engineering / Computer Science student","Not familiar","No","Audio editing","Very difficult","Overlap between heart and lung sounds;Low recording quality;Difficulty identifying useful sound components;Lack of clear output visualization","Strongly Agree","Agree","Preprocess noisy audio","All of the above","Very important","Very important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Very important","Audio preview players","Message explaining the problem","Very important","All of the above","Maybe",""
"2026/06/24 10:37:53 PM GMT+8","Under 18","Software Engineering / Computer Science student","Basic","Yes","Machine learning model testing","Very difficult","Background noise;Overlap between heart and lung sounds;Low recording quality;Difficulty identifying useful sound components;Lack of simple software tools;Lack of clear output visualization","Strongly Agree","Strongly Agree","Separate heart and lung sounds","All of the above","Very important","Very important","Very important","Yes","Simple audio player only","Detailed interface with many technical options","Very important","Audio preview players","Message explaining the problem and suggested fix","Very important","All of the above","Yes",""
"2026/06/24 10:44:28 PM GMT+8","18-25","AI / Machine Learning student","Basic","Yes","Audio recording","Neutral","Overlap between heart and lung sounds","Neutral","Neutral","Separate heart and lung sounds","Audio files with waveform visualization","Very important","Very important","Very important","Yes","Simple audio player only","Balanced interface with simple view and optional advanced details","Very important","Processing status summary","Message explaining the problem and suggested fix","Very important","All of the above","Yes",""
"2026/06/24 11:51:47 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","Yes","Audio classification","Very easy","Background noise","Disagree","Strongly disagree","Separate heart and lung sounds","Audio files with spectrogram visualization","Very important","Very important","Very important","Yes","Simple audio player only","Simple interface with only main features","Not important","Audio preview players","Message explaining the problem","Moderately important","Separation accuracy score","Yes",""
"2026/06/24 11:54:49 PM GMT+8","18-25","AI / Machine Learning student","Basic","Yes","Audio classification","Very easy","Background noise","Strongly Agree","Strongly Agree","Download separated outputs","All of the above","Very important","Very important","Very important","Yes","Simple audio player only","Simple interface with only main features","Very important","Evaluation metrics","Message explaining the problem","Very important","All of the above","Yes",""
"2026/06/24 11:56:32 PM GMT+8","18-25","Software Engineering / Computer Science student","Basic","Yes","Audio classification","Very easy","Low recording quality;Lack of simple software tools","Strongly Agree","Strongly Agree","View evaluation results","All of the above","Very important","Very important","Very important","Yes","Audio player with spectrogram","Detailed interface with many technical options","Very important","Processing status summary","Message explaining the problem and suggested fix","Very important","All of the above","Yes",""
"2026/06/24 11:58:12 PM GMT+8","18-25","Biomedical Engineering/ Health-related student","Advanced","Yes","Machine learning model testing","Very easy","Difficulty identifying useful sound components","Agree","Strongly Agree","View evaluation results","All of the above","Very important","Very important","Very important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Very important","Processing status summary","Message explaining the problem and suggested fix","Very important","All of the above","Yes",""
"2026/06/24 11:59:55 PM GMT+8","18-25","Lecturer / Supervisor","Basic","Yes","Machine learning model testing","Very easy","Lack of clear output visualization","Strongly Agree","Strongly Agree","View evaluation results","All of the above","Very important","Very important","Very important","Yes","Audio player with spectrogram","Detailed interface with many technical options","Very important","Evaluation metrics","Message explaining the problem and suggested fix","Very important","All of the above","Yes",""
"2026/06/25 3:10:09 AM GMT+8","Under 18","AI / Machine Learning student","Basic","Yes","Audio classification","Very easy","Overlap between heart and lung sounds;Low recording quality;Difficulty identifying useful sound components;Lack of simple software tools","Neutral","Disagree","Separate heart and lung sounds","Audio files with spectrogram visualization","Moderately important","Moderately important","Moderately important","Yes","Audio player with waveform","Detailed interface with many technical options","Slightly important","Audio preview players","Message explaining the problem","Slightly important","Separation accuracy score","Yes",""
"2026/06/25 3:14:23 AM GMT+8","Under 18","AI / Machine Learning student","Not familiar","No","Audio separation","Neutral","Low recording quality","Neutral","Neutral","Preprocess noisy audio","Audio files with waveform visualization","Slightly important","Moderately important","Moderately important","No","Audio player with waveform","Simple interface with only main features","Slightly important","Waveform or spectrogram visualization","Short message only","Not important","Processing time","Yes","You 😁"
"2026/06/25 3:17:14 AM GMT+8","18-25","AI / Machine Learning student","Not familiar","No","Audio separation","Easy","Overlap between heart and lung sounds;Difficulty identifying useful sound components;Lack of simple software tools;Lack of clear output visualization","Neutral","Strongly disagree","Upload mixed cardiopulmonary audio","Audio files with waveform visualization","Moderately important","Moderately important","Moderately important","Yes","Simple audio player only","Simple interface with only main features","Not important","Audio preview players","Message explaining the problem and suggested fix","Not important","Separation accuracy score","Yes","everything😌"
