paper_id,title,publication_year,abstract_available,scope_ml_sound_separation,heart_lung_or_cardiopulmonary_focus,public_dataset_mentioned,python_or_reproducible_method_mentioned,disease_detection_only,include_title_abstract,exclusion_reason_id,screened_by,screened_date,notes,utility_level,download_priority,useful_for,reason_for_decision,year_eligibility,previous_title_abstract_decision_before_year_rule
P001,Unsupervised Deep Learning of Sparse Signals against Low-Rank Backgrounds with Application to Online Lung Sound Separation,2023,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Related preprocessing/source separation background Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P002,An End-to-End Deep Learning Framework for Real-Time Denoising of Heart Sounds for Cardiac Disease Detection in Unseen Noise,2023,Yes,Partial,Yes,Yes/Partly,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Relevant denoising and preprocessing background Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P003,A Robust Hybrid Neural Network Architecture for Blind Source Separation of Speech Signals Exploiting Deep Learning,2023,Yes,Yes,No,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Generic audio source separation background only Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P004,Multi-resolution Analysis Based Time-Domain Audio Source Separation with Optimized U-NET Model,2025,Yes,Yes,No,Yes,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Generic audio separation background only Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P005,Noisy Neonatal Chest Sound Separation for High-Quality Heart and Lung Sounds,2023,Yes,Yes,Yes,No/Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct heart-lung sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P006,Generative AI Respiratory and Cardiac Sound Separation Using Variational Autoencoders (VAEs),2025,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Related but disease-detection oriented Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P007,Non-Contact Heart Sound Measurement Using Independent Component Analysis,2022,Yes,Partial,Yes,No/Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Biomedical source extraction background Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P008,Real-time Neonatal Chest Sound Separation using Deep Learning,2023,Yes,Yes,Yes,No/Unclear,Partial/Unclear,No,No,E06,Codex local PDF audit,2026-05-07,Duplicate of retained NeoSSNet version Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P009,NeoSSNet: Real-Time Neonatal Chest Sound Separation Using Deep Learning,2024,Yes,Yes,Yes,No/Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct heart-lung sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P010,Separation of the Aortic and Pulmonary Components of the Second Heart Sound via Alternating Optimization,2024,Yes,Yes,Yes,No/Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Biomedical BSS background Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
